,0
0,36.0
1,324.0
2,361.0
3,0.0
4,121.0
5,289.0
6,400.0
7,400.0
8,279.73031220455835
9,289.0
10,248.8557330572648
11,396.85181824798696
12,49.8994049986639
13,0.0
14,69.39165454055436
15,0.0
16,32.02690203534842
17,196.0
18,0.0
19,89.10293868417057
20,225.0
21,0.0
22,107.6454421138447
23,169.0
24,341.770389590348
25,-87.95064931724662
26,333.732253371147
27,28.491724805274515
28,64.0
29,100.0
30,164.8303716611779
31,47.52759154093428
32,169.0
33,25.346388294524715
34,156.1672972707385
35,441.0
36,88.96008455709838
37,169.0
38,169.0
39,56.93459542604754
40,198.54887868136788
41,324.0
42,225.0
43,335.9450492465529
44,-78.2417487442548
45,95.76266466349955
46,79.1381807231835
47,4.0
48,3.558306220340616
49,3.165377930941477
50,70.39964495589896
51,144.0
52,144.0
53,2.8158320137924386
54,228.72089721110544
55,355.85181824798696
56,164.46171689726194
57,361.0
58,135.9020974889191
59,119.16317085180148
60,128.09775180329228
61,62.62540719881447
62,55.70884912831521
63,222.41260592639662
64,225.0
65,16.0
66,183.48059896364077
67,351.3110516475411
68,316.55271898886366
69,-23.064368888776613
70,-37.728143647424766
71,194.00140170914335
72,361.0
73,321.1315551941603
74,315.75234715534344
75,257.1023007365648
76,231.35414216374352
77,-37.09398393408541
78,311.1131999815724
79,285.66046286710053
80,85.18864430640434
81,199.08645316648466
82,196.0
83,32.64423253741205
84,-32.99654555022233
85,50.648309924252985
86,32.735309745056355
87,273.50798760274046
88,254.1054927366156
89,72.59863844987028
90,113.95049338305382
91,49.55605565967917
92,70.19522431516208
93,268.4834819966303
94,-39.8421403137051
95,82.33892947589645
96,261.0108462993876
97,288.22566590879813
98,22.548056527947647
99,144.0
100,101.36164615728549
101,-75.37630653121107
102,90.16245035613429
103,20.056827752434465
104,236.1801137952911
105,256.381603814771
106,17.840710170896195
107,86.72393072388849
108,121.0
109,107.4302418419345
110,200.14925833233661
111,247.3341971668466
112,228.70309270101353
113,93.92089514031056
114,45.05308770706471
115,99.54489538743154
116,78.37804874144116
117,297.2006208155013
118,-69.60254367960712
119,117.08935125478638
120,80.20042656437681
121,134.21620773982642
122,-35.44034558924791
123,133.575077064527
124,-3.253330547016134
125,107.62967443443776
126,15.86937684336429
127,16.14425931033182
128,14.232800804446796
129,116.10843735332948
130,54.044417687970935
131,401.1251757326481
132,34.771059943498585
133,-117.70760257524367
134,14.11555299020731
135,12.55543034936246
136,-26.85423524350557
137,150.34216974862278
138,44.081168518021556
139,11.167712636048563
140,210.6620311844282
141,324.0
142,9.933301540861702
143,-88.72831370894403
144,71.33750879903997
145,190.13003954976546
146,201.82624570544033
147,276.7925564417561
148,226.03337865395042
149,148.854387475631
150,247.90935420728167
151,201.04702362060112
152,259.5042202157365
153,0.0
154,256.0
155,39.65902200038906
156,176.20708074387136
157,178.03261149465655
158,73.83781851596109
159,355.11664017956997
160,205.54784711245406
161,-127.00865201388112
162,75.77824546224966
163,187.432477214439
164,178.82228491099545
165,39.208801453613184
166,177.07976340579305
167,281.5887878205268
168,88.54724926675425
169,315.85792371631294
170,99.71070907658017
171,-160.06486890209536
172,305.340677062496
173,0.0
174,63.45182092527517
175,25.0
176,102.3656143386618
177,56.43599749515552
178,157.50135264307562
179,250.45558068215772
180,66.25791853045399
181,411.64857730986927
182,34.87385852822254
183,22.235712212162568
184,-115.91450660452699
185,50.195659142825235
186,166.710271715985
187,159.05200715177222
188,64.57806290098989
189,79.05044229409518
190,379.08905236055136
191,144.16174819196766
192,222.76122080690104
193,308.4278102030394
194,227.69991975511073
195,148.2742841299249
196,141.46292401247064
197,71.1329574198561
198,228.05293936397524
199,73.78635637679828
200,160.47921312661572
201,-103.83410432565614
202,45.234444909639535
203,-114.80485853751696
204,54.41696140403195
205,362.0026575056794
206,198.12574192856277
207,174.52224037688308
208,225.0
209,12.659813721465534
210,59.75850318018064
211,348.64997500878053
212,106.34779684007454
213,188.05917399491625
214,202.83072854915056
215,78.76319993939617
216,133.72492454839195
217,76.28731729542511
218,203.43071978281435
219,67.40050328765804
220,305.2200349321681
221,0.0
222,230.08533951282658
223,125.81771311348132
224,-29.777771004953934
225,-74.8707591739196
226,224.8903107847354
227,103.59392745469171
228,176.21210606904566
229,103.77096179044393
230,35.828692034738424
231,294.4117885049928
232,111.89945747408368
233,-163.86633838822007
234,44.6447831748353
235,49.0
236,151.2623972080757
237,36.4416429379645
238,180.39490431854082
239,186.62803633741683
240,-99.15870020876062
241,70.05074958721957
242,-142.36696233780197
243,159.39693780335946
244,158.35121321630703
245,130.49555590733416
246,221.1713642520912
247,186.89284305881304
248,180.92762829421946
249,40.07448775724154
250,-17.844475334645622
251,8.835290827798616
252,89.98968940712216
253,251.63545753982908
254,202.51775952785027
255,35.64019953436544
256,75.05664992631756
257,156.71832269864623
258,56.20990825202928
259,39.70567561991402
260,59.94464790762499
261,81.0
262,72.0360018429281
263,31.01749478168942
264,127.91207191922629
265,99.52012974661068
266,37.99005315956768
267,174.25005706959604
268,-156.36724975279395
269,211.55120797570729
270,-126.61515419059405
271,172.51473826995564
